,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized,Recomendacao_Planejamento
40,41,B041,H041,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1576,1,24,1.0,20.0,10.0,25879,24
41,42,B042,H042,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1052,1,24,1.0,26.0,13.0,52799,24
42,43,B043,H043,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1651,2,24,1.0,26.0,13.0,53119,24
43,44,B044,H044,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1661,2,24,1.0,18.0,9.0,26280,24
44,45,B045,H045,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1187,1,24,1.0,16.0,8.0,27375,24
45,46,B046,H046,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1391,1,24,1.0,12.0,6.0,25727,24
46,47,B047,H047,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1743,1,24,1.0,28.0,14.0,54828,24
47,48,B048,H048,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1592,2,24,1.0,12.0,6.0,29550,24
48,49,B049,H049,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,>1900,2002,1,24,1.0,34.0,17.0,53153,24
49,50,B050,H050,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1271,2,24,1.0,30.0,15.0,52619,24
50,51,B051,H051,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1426,2,24,1.0,30.0,15.0,51106,24
51,52,B052,H052,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1385,2,24,1.0,12.0,6.0,30258,24
52,53,B053,H053,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,2050,1,24,1.0,16.0,8.0,28674,24
53,54,B054,H054,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1457,1,24,1.0,16.0,8.0,26312,24
54,55,B055,H055,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1337,1,24,1.0,34.0,17.0,51690,24
55,56,B056,H056,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1236,2,24,1.0,20.0,10.0,27650,24
56,57,B057,H057,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1124,1,24,1.0,34.0,17.0,53655,24
57,58,B058,H058,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1283,2,24,1.0,24.0,12.0,51542,24
58,59,B059,H059,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1746,2,24,1.0,26.0,13.0,51104,24
59,60,B060,H060,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,1.0,14.0,7.0,28654,24
60,61,B061,H061,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1664,1,24,1.0,36.0,18.0,52295,24
61,62,B062,H062,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1181,2,24,1.0,18.0,9.0,27431,24
62,63,B063,H063,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1239,1,24,1.0,32.0,16.0,53530,24
63,64,B064,H064,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1360,2,24,1.0,12.0,6.0,27542,24
64,65,B065,H065,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1866,1,24,1.0,28.0,14.0,54381,24
65,66,B066,H066,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1579,2,24,1.0,14.0,7.0,27810,24
66,67,B067,H067,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1615,1,24,1.0,16.0,8.0,28497,24
67,68,B068,H068,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1448,1,24,1.0,44.0,22.0,51035,24
68,69,B069,H069,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,943,2,24,1.0,36.0,18.0,53136,24
69,70,B070,H070,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1200,2,24,1.0,18.0,9.0,26657,24
70,71,B071,H071,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1204,1,24,1.0,14.0,7.0,28361,24
71,72,B072,H072,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1647,1,24,1.0,12.0,6.0,26834,24
72,73,B073,H073,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1818,1,24,1.0,30.0,15.0,51771,24
73,74,B074,H074,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1403,2,24,1.0,14.0,7.0,27690,24
74,75,B075,H075,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1608,1,24,1.0,14.0,7.0,27982,24
75,76,B076,H076,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1625,1,24,1.0,18.0,9.0,26701,24
76,77,B077,H077,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1206,1,24,1.0,20.0,10.0,28364,24
77,78,B078,H078,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1153,1,24,1.0,14.0,7.0,27380,24
78,79,B079,H079,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1590,1,24,1.0,24.0,12.0,52368,24
79,80,B080,H080,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1774,2,24,1.0,14.0,7.0,26949,24
80,81,B081,H081,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1565,1,24,1.0,30.0,15.0,53911,24
81,82,B082,H082,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1461,2,24,1.0,14.0,7.0,25968,24
82,83,B083,H083,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1508,1,24,1.0,22.0,11.0,27574,24
83,84,B084,H084,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1019,1,24,1.0,16.0,8.0,27926,24
84,85,B085,H085,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1419,1,24,1.0,36.0,18.0,52472,24
85,86,B086,H086,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1185,2,24,1.0,28.0,14.0,53382,24
86,87,B087,H087,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1550,2,24,1.0,18.0,9.0,28605,24
87,88,B088,H088,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1292,1,24,1.0,32.0,16.0,53254,24
88,89,B089,H089,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1353,2,24,1.0,32.0,16.0,54277,24
89,90,B090,H090,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1379,2,24,1.0,24.0,12.0,27217,24
90,91,B091,H091,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,922,1,24,1.0,26.0,13.0,54846,24
91,92,B092,H092,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1715,2,24,1.0,26.0,13.0,54846,24
92,93,B093,H093,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1715,2,24,1.0,14.0,7.0,28327,24
93,94,B094,H094,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1900,1645,1,24,1.0,20.0,10.0,27946,24
94,95,B095,H095,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1136,1,24,1.0,12.0,6.0,28162,24
95,96,B096,H096,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,1908,1,24,1.0,28.0,14.0,27173,24
96,97,B097,H097,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,789,1,24,1.0,12.0,6.0,26066,24
97,98,B098,H098,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1766,1,24,1.0,12.0,6.0,28723,24
98,99,B099,H099,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,1946,1,24,1.0,22.0,11.0,54607,24
99,100,B100,H100,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,2018,2,24,1.0,12.0,6.0,28118,24
100,101,B101,H101,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,1905,1,24,1.0,30.0,15.0,53542,24
101,102,B102,H102,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1451,2,24,1.0,14.0,7.0,28602,24
102,103,B103,H103,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1661,1,24,1.0,40.0,20.0,51906,24
103,104,B104,H104,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1055,2,24,1.0,32.0,16.0,51404,24
104,105,B105,H105,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1306,2,24,1.0,24.0,12.0,52575,24
105,106,B106,H106,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1781,2,24,1.0,16.0,8.0,28595,24
106,107,B107,H107,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1453,1,24,1.0,26.0,13.0,52127,24
