,hyb_index,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized
127,79,1.0,24.0,12.0,52368.479999999996
128,8,1.0,24.0,12.0,51276.23999999999
129,80,1.0,14.0,7.0,26949.3
130,81,1.0,30.0,15.0,53910.9
131,82,1.0,14.0,7.0,25967.76
132,83,1.0,22.0,11.0,27574.14
133,84,1.0,16.0,8.0,27925.92
134,85,1.0,36.0,18.0,52471.799999999996
135,86,1.0,28.0,14.0,53382.0
136,87,1.0,18.0,9.0,28604.88
137,88,1.0,32.0,16.0,53254.08
138,89,1.0,32.0,16.0,54277.44
139,9,1.0,34.0,17.0,52275.0
140,90,1.0,24.0,12.0,27217.44
141,91,1.0,26.0,13.0,54845.7
142,92,1.0,26.0,13.0,54845.7
143,93,1.0,14.0,7.0,28326.899999999998
144,94,1.0,20.0,10.0,27945.6
145,95,1.0,12.0,6.0,28162.08
146,96,1.0,28.0,14.0,27173.16
147,97,1.0,12.0,6.0,26066.159999999996
148,98,1.0,12.0,6.0,28722.96
149,99,1.0,22.0,11.0,54607.079999999994
